property_id,property_address,suburb,postcode,property_type,sale_price_aud,bedrooms,bathrooms,parking,listed_area_m2,sale_date,sale_year,sale_month,missing_feature_count,source_page,source_url,,,,,,,verification_status
M001,"3/66 Osborne Road, Manly, NSW 2095",Manly,2095,Apartment,1650000,2,1,1,87,9/17/2026,2026,9,0,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M002,"4/3 Cliff Street, Manly, NSW 2095",Manly,2095,Apartment,840000,1,1,,61,9/17/2026,2026,9,1,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M003,"2/115-117 Sydney Road, Manly, NSW 2095",Manly,2095,Unit,2125550,2,1,1,183,9/11/2026,2026,9,0,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M004,"35 Smith Street, Manly, NSW 2095",Manly,2095,House,3500000,3,2,,,9/9/2026,2026,9,2,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M005,"5/34 Pacific Street, Manly, NSW 2095",Manly,2095,Apartment,1350000,2,1,,,9/5/2026,2026,9,2,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M006,"7/6 Laurence Street, Manly, NSW 2095",Manly,2095,Apartment,2800000,3,2,2,,9/1/2026,2026,9,1,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M007,"25 Malvern Avenue, Manly, NSW 2095",Manly,2095,House,4175000,3,1,2,348,8/29/2026,2026,8,0,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M008,"4/22-24 Ashburner Street, Manly, NSW 2095",Manly,2095,Apartment,1875000,2,1,1,72,8/28/2026,2026,8,0,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M009,"23/140 Addison Road, Manly, NSW 2095",Manly,2095,Apartment,3370000,2,1,1,114.8,8/21/2026,2026,8,0,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M010,"1/22 Eurobin Avenue, Manly, NSW 2095",Manly,2095,Apartment,790000,1,1,1,,8/20/2026,2026,8,1,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M011,"2/40 Fairy Bower Road, Manly, NSW 2095",Manly,2095,Apartment,1750000,2,1,,,8/19/2026,2026,8,2,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M012,"16/51 Pittwater Road, Manly, NSW 2095",Manly,2095,Unit,1130000,1,1,1,,8/14/2026,2026,8,1,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M013,"31 Alexander Street, Manly, NSW 2095",Manly,2095,House,5950000,4,2,,,8/8/2026,2026,8,2,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M014,"16/1 Addison Road, Manly, NSW 2095",Manly,2095,Apartment,1655000,3,2,1,112,7/30/2026,2026,7,0,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M015,"2/19-21 The Crescent, Manly, NSW 2095",Manly,2095,Apartment,1455000,2,1,1,92,7/28/2026,2026,7,0,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M016,"127 Pittwater Road, Manly, NSW 2095",Manly,2095,House,4115000,3,2,1,278,7/24/2026,2026,7,0,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M017,"308B/9-15 Central Avenue, Manly, NSW 2095",Manly,2095,Apartment,747000,1,,,50,7/24/2026,2026,7,1,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M018,"5/18 Fairlight Street, Manly, NSW 2095",Manly,2095,Apartment,1475000,2,1,1,75,7/20/2026,2026,7,0,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
M019,"2/2a Kangaroo Street, Manly, NSW 2095",Manly,2095,Unit,1500000,2,1,,,7/17/2026,2026,7,2,Manly sold listings page 1,"https://www.realestate.com.au/sold/in-manly,%2Bnsw%2B2095;/list-1",,,,,,,Needs verification
